epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,4304.61,0.47423,0.50839,1.08089,0.99015,0.99501,0.9946,0.96177,0.3019,0.23625,0.86769,0.000109442,0.000109442,0.000109442
151,4333.05,0.42209,0.35961,1.04596,0.98768,0.98659,0.9936,0.96044,0.30216,0.23585,0.86459,0.000107378,0.000107378,0.000107378
152,4360.54,0.44033,0.38269,1.06384,0.99077,0.99285,0.99467,0.96333,0.30206,0.22907,0.86472,0.000105313,0.000105313,0.000105313
153,4390.19,0.42464,0.36865,1.03989,0.99669,0.9915,0.99476,0.96652,0.30186,0.22827,0.86387,0.000103249,0.000103249,0.000103249
154,4418.73,0.40937,0.33411,1.02132,0.99071,0.99216,0.99476,0.96673,0.28095,0.22563,0.84158,0.000101185,0.000101185,0.000101185
155,4448.48,0.40247,0.36616,1.05848,0.98685,0.98814,0.99408,0.96678,0.28445,0.23059,0.84114,9.91209e-05,9.91209e-05,9.91209e-05
156,4475.84,0.4173,0.33348,1.04131,0.98662,0.98768,0.99397,0.96795,0.28243,0.22058,0.84139,9.70567e-05,9.70567e-05,9.70567e-05
157,4504.38,0.39983,0.34824,1.0229,0.98733,0.98984,0.99436,0.97174,0.26928,0.21904,0.83182,9.49926e-05,9.49926e-05,9.49926e-05
158,4533.16,0.41538,0.36529,1.04217,0.98711,0.98556,0.99436,0.97138,0.26721,0.21875,0.83225,9.29284e-05,9.29284e-05,9.29284e-05
159,4560.15,0.42319,0.39058,1.06185,0.9952,0.99101,0.99492,0.97258,0.26512,0.22227,0.83163,9.08643e-05,9.08643e-05,9.08643e-05
160,4588.43,0.45383,0.38171,1.05708,0.99501,0.99094,0.99492,0.97106,0.26762,0.21795,0.83443,8.88001e-05,8.88001e-05,8.88001e-05
161,4615.16,0.38553,0.35377,1.02075,0.99616,0.99537,0.99492,0.97397,0.26629,0.20912,0.8333,8.6736e-05,8.6736e-05,8.6736e-05
162,4643.38,0.45165,0.3692,1.11644,0.99284,0.99583,0.99492,0.97407,0.26176,0.20506,0.82563,8.46718e-05,8.46718e-05,8.46718e-05
163,4671.77,0.43219,0.38178,1.0771,0.99378,0.99525,0.99484,0.97318,0.26175,0.20944,0.82593,8.26077e-05,8.26077e-05,8.26077e-05
164,4699.2,0.41343,0.38064,1.05588,0.9922,0.99583,0.99492,0.9767,0.25456,0.21002,0.81965,8.05436e-05,8.05436e-05,8.05436e-05
165,4727.65,0.39052,0.33653,1.02702,0.99429,0.99459,0.99484,0.97663,0.25718,0.20962,0.82241,7.84794e-05,7.84794e-05,7.84794e-05
166,4757.51,0.3642,0.33754,1.01186,0.99091,0.98657,0.99423,0.97651,0.26026,0.20721,0.82455,7.64153e-05,7.64153e-05,7.64153e-05
167,4786.13,0.41131,0.3708,1.06004,0.99122,0.99155,0.99484,0.97714,0.265,0.21162,0.82678,7.43511e-05,7.43511e-05,7.43511e-05
168,4818.16,0.40773,0.35595,1.02023,0.98825,0.99787,0.99492,0.97911,0.2613,0.20883,0.82355,7.2287e-05,7.2287e-05,7.2287e-05
169,4847.82,0.37778,0.35183,1.0175,0.99312,0.9946,0.99492,0.97823,0.25229,0.20951,0.819,7.02228e-05,7.02228e-05,7.02228e-05
170,4874.73,0.39263,0.33924,1.01323,0.99279,0.99583,0.99492,0.9764,0.24868,0.20561,0.81829,6.81587e-05,6.81587e-05,6.81587e-05
171,4901.3,0.39841,0.33215,1.01407,0.9875,0.99167,0.99443,0.97856,0.24645,0.19881,0.81653,6.60945e-05,6.60945e-05,6.60945e-05
172,4928.89,0.38865,0.32762,1.02875,0.98515,0.99167,0.99443,0.98011,0.25046,0.20389,0.81839,6.40304e-05,6.40304e-05,6.40304e-05
173,4958.75,0.39499,0.32959,1.03909,0.98584,0.98891,0.99444,0.97958,0.25297,0.20107,0.82068,6.19662e-05,6.19662e-05,6.19662e-05
174,4987.47,0.38833,0.34999,1.03722,0.98952,0.9875,0.99452,0.98004,0.25449,0.20392,0.82116,5.99021e-05,5.99021e-05,5.99021e-05
175,5015.79,0.38202,0.32279,1.02666,0.99287,0.98271,0.99444,0.97775,0.26094,0.20542,0.82427,5.78379e-05,5.78379e-05,5.78379e-05
176,5043.53,0.40418,0.34774,1.06728,0.97333,0.99321,0.9941,0.98169,0.2496,0.20144,0.81479,5.57738e-05,5.57738e-05,5.57738e-05
177,5072.63,0.35689,0.30773,1.01415,0.97655,0.98789,0.99361,0.98072,0.24847,0.2056,0.81181,5.37096e-05,5.37096e-05,5.37096e-05
178,5099.97,0.37262,0.33212,1.01486,0.97119,0.99118,0.99338,0.98105,0.24465,0.20282,0.81018,5.16454e-05,5.16454e-05,5.16454e-05
179,5127.1,0.35679,0.32965,1.01328,0.97989,0.9875,0.99362,0.98006,0.24078,0.20003,0.80865,4.95813e-05,4.95813e-05,4.95813e-05
